gameid,date,game_num,blue,red,url
LOLTMNT04_129236,2025-09-05 17:50:09,4,Team Heretics,Team Vitality,
LOLTMNT04_130276,2025-09-06 15:10:58,1,GiantX,Team BDS,
LOLTMNT04_129302,2025-09-06 16:01:37,2,Team BDS,GiantX,
LOLTMNT04_129307,2025-09-06 16:55:25,3,GiantX,Team BDS,
LOLTMNT04_130365,2025-09-07 15:07:42,1,Karmine Corp,G2 Esports,
LOLTMNT04_130370,2025-09-07 16:01:49,2,Karmine Corp,G2 Esports,
LOLTMNT04_129373,2025-09-07 16:50:17,3,Karmine Corp,G2 Esports,
LOLTMNT04_129375,2025-09-07 17:39:49,4,G2 Esports,Karmine Corp,
LOLTMNT04_129398,2025-09-08 15:06:41,1,Movistar KOI,Fnatic,
LOLTMNT04_129399,2025-09-08 16:10:03,2,Movistar KOI,Fnatic,
LOLTMNT04_129400,2025-09-08 17:00:46,3,Fnatic,Movistar KOI,
LOLTMNT04_129401,2025-09-08 18:03:01,4,Fnatic,Movistar KOI,
LOLTMNT04_129402,2025-09-08 18:55:22,5,Movistar KOI,Fnatic,
LOLTMNT04_129553,2025-09-13 15:07:23,1,Karmine Corp,Team Vitality,
LOLTMNT04_129556,2025-09-13 16:19:53,2,Karmine Corp,Team Vitality,
LOLTMNT04_129559,2025-09-13 17:16:53,3,Team Vitality,Karmine Corp,
LOLTMNT04_129562,2025-09-13 18:05:21,4,Team Vitality,Karmine Corp,
LOLTMNT04_129596,2025-09-14 15:08:58,1,Movistar KOI,G2 Esports,
LOLTMNT04_129599,2025-09-14 16:09:18,2,Movistar KOI,G2 Esports,
LOLTMNT04_129602,2025-09-14 17:04:24,3,Movistar KOI,G2 Esports,
LOLTMNT04_130607,2025-09-14 18:10:46,4,G2 Esports,Movistar KOI,
LOLTMNT04_129624,2025-09-15 15:07:36,1,Fnatic,GiantX,
LOLTMNT04_129625,2025-09-15 16:11:54,2,GiantX,Fnatic,
LOLTMNT04_129626,2025-09-15 17:02:53,3,GiantX,Fnatic,
LOLTMNT05_154344,2025-09-26 15:31:49,1,Karmine Corp,Fnatic,
LOLTMNT05_154348,2025-09-26 16:37:04,2,Karmine Corp,Fnatic,
LOLTMNT05_155399,2025-09-27 15:15:11,1,Movistar KOI,Fnatic,
LOLTMNT05_154390,2025-09-27 16:09:44,2,Fnatic,Movistar KOI,
LOLTMNT05_154392,2025-09-27 17:05:39,3,Movistar KOI,Fnatic,
LOLTMNT05_155401,2025-09-27 18:03:01,4,Fnatic,Movistar KOI,
LOLTMNT05_155418,2025-09-28 15:14:38,1,Movistar KOI,G2 Esports,
LOLTMNT05_154417,2025-09-28 16:11:17,2,Movistar KOI,G2 Esports,
LOLTMNT05_154418,2025-09-28 17:10:18,3,Movistar KOI,G2 Esports,
