gameid,date,game_num,blue,red,url
LOLTMNT04_129127,2025-09-02 17:10:00,2,Solary,Gentle Mates,
LOLTMNT04_129133,2025-09-02 18:24:36,3,Solary,Gentle Mates,
LOLTMNT04_129147,2025-09-03 16:07:41,1,Vitality.Bee,BK ROG Esports,
LOLTMNT04_129156,2025-09-03 16:54:57,2,BK ROG Esports,Vitality.Bee,
LOLTMNT04_130149,2025-09-03 17:53:51,3,Vitality.Bee,BK ROG Esports,
LOLTMNT04_130151,2025-09-03 18:50:11,4,BK ROG Esports,Vitality.Bee,
LOLTMNT04_129159,2025-09-03 20:04:22,5,Vitality.Bee,BK ROG Esports,
LOLTMNT04_129167,2025-09-04 16:07:44,1,Karmine Corp Blue,Galions,
LOLTMNT04_130164,2025-09-04 16:55:03,2,Galions,Karmine Corp Blue,
LOLTMNT04_130166,2025-09-04 17:55:00,3,Karmine Corp Blue,Galions,
LOLTMNT04_129174,2025-09-04 18:58:22,4,Galions,Karmine Corp Blue,
LOLTMNT04_129177,2025-09-04 19:58:14,5,Galions,Karmine Corp Blue,
LOLTMNT04_129430,2025-09-10 16:07:01,1,Gentle Mates,Vitality.Bee,
LOLTMNT04_130427,2025-09-10 17:00:53,2,Vitality.Bee,Gentle Mates,
LOLTMNT04_129431,2025-09-10 17:48:21,3,Vitality.Bee,Gentle Mates,
LOLTMNT04_129434,2025-09-10 18:41:22,4,Gentle Mates,Vitality.Bee,
LOLTMNT04_129450,2025-09-11 16:04:45,1,Gentle Mates,Karmine Corp Blue,
LOLTMNT04_129452,2025-09-11 16:57:29,2,Gentle Mates,Karmine Corp Blue,
LOLTMNT04_129453,2025-09-11 18:02:54,3,Karmine Corp Blue,Gentle Mates,
LOLTMNT04_129454,2025-09-11 18:53:00,4,Gentle Mates,Karmine Corp Blue,
LOLTMNT04_129456,2025-09-11 20:05:19,5,Karmine Corp Blue,Gentle Mates,
LOLTMNT04_130457,2025-09-12 16:02:44,1,Galions,Karmine Corp Blue,
LOLTMNT04_129471,2025-09-12 16:54:38,2,Galions,Karmine Corp Blue,
LOLTMNT04_130478,2025-09-12 17:45:11,3,Karmine Corp Blue,Galions,
LOLTMNT04_130635,2025-09-16 16:03:00,1,Team BDS Academy,Esprit Shōnen,
LOLTMNT04_129646,2025-09-16 17:01:02,2,Team BDS Academy,Esprit Shōnen,
LOLTMNT04_129647,2025-09-16 17:52:54,3,Team BDS Academy,Esprit Shōnen,
LOLTMNT04_129648,2025-09-16 18:42:45,4,Esprit Shōnen,Team BDS Academy,
LOLTMNT04_129655,2025-09-17 16:07:40,1,Project Conquerors,Team BDS Academy,
LOLTMNT04_129656,2025-09-17 16:58:30,2,Team BDS Academy,Project Conquerors,
LOLTMNT04_129657,2025-09-17 17:43:55,3,Team BDS Academy,Project Conquerors,
LOLTMNT04_130644,2025-09-18 16:04:32,1,Esprit Shōnen,Team BDS Academy,
LOLTMNT04_129662,2025-09-18 16:58:06,2,Team BDS Academy,Esprit Shōnen,
